"Business_Term","BUSINESS_TERM_DESCRIPTION","Business_Term_Status"
"Total Large Provider Demand","Total large provider demand is used when demand cannot be split between the residential, non-residential and lost and unaccounted for components.","S"
"Indian Agricultural Lost and Unaccounted","Indian agricultural lost and unaccounted for water.","S"
"Indian Agricultural Demand","Water used to grow crops on reservations.","S"
"Agricultural Exception Users","Surface water right holders in Chino Valley Irrigation District","S"
"Indian Industrial Demand","Industrial demand on reservations.","S"
"Indian Municipal Demand","Municipal use on reservations.","S"
"Non Conservation and Non Municipal Demand","Applies to golf courses with their own CAP contract.  This is an old term and has not been used since 2012.","S"
"Total Turf Demand","Turf demand that cannot be broken out by turf sub-sectors.","S"
"Demand","The end use of supplied water, beyond the categories of agriculture, industrial, and municipal. Demands include exempt and non-exempt irrigation, water losses,  Large Provider Residential & Non-Residential Deliveries, Urban Irrigation, Golf Courses, HOAs, Mining, etc.","S"
"Overdraft","The amount of imbalance between the annual amount of groundwater withdrawn in an active management area and the annual amount of natural and artificial recharge in the active management area.","S"
"Aeronautical Reconnaissance Coverage Geographic In","A family of client software, server software, and online geographic information system services developed and maintained by Environmental Systems Research Institute.","S"
"Encumbrances","The amount of money the Department has reserved for Water Management Assistance Program. The Project/Groundwater Conservation Grant covers the remaining expenses.","S"
"Environmental Systems Research Institute","Geographic information system software, web geographic information system and geodatabase management applications.","S"
"Expenditures","The amount of money the Department has given to a Water Management Assistance Program and the Project/Groundwater Conservation Grant to fund expenses.","S"
"Geographic Information System","A geographic information system is a type of database containing geographic data, combined with software tools for managing, analyzing, and visualizing those data.","S"
"Groundwater Conservation Grant","$2,000,000 was appropriated by SB1227 from the State General Fund to the Water Management Assistance Program fund for the purpose of providing grant monies for conservation of groundwater in the active management areas; The $2,000,000 was be divided among the five active management areas on a per-capita basis, with a minimum amount of $150,000 for the Pinal, Prescott, and Santa Cruz active management areas, $305,000 for the Tucson active management area, and $1,245,000 for the Phoenix active management area. .","S"
"Water Management Assistance Program","Intended to provide financial and technical resources to assist water users in the development and implementation of conservation programs, facilitate augmentation and renewable water supply utilization, and obtain information on hydrologic conditions and water availability in an active management areas; funded primarily from groundwater withdrawal fees collected from each person or entity withdrawing groundwater in an active management areas from a non-exempt well (A.R.S. § 45-611 (C)).","S"
"Xeriscape","A style of landscape design requiring little or no irrigation or other maintenance, used in arid regions.","S"
